,id,artist_name,track_name,album_name,artist_genre,release_date,artist_popularity,track_popularity,artist_followers,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2211,27IudTrGneOmEwx1FNPh2O,Smiley,Plec Pe Marte,Plec Pe Marte,['romanian pop'],2010-04-27,49,0,449950,235128,0.71,2,-7.179,0.107,0.255,0.0,0.874,0.492,93.973,235128,4
2212,3jnCVTf90gRbNpESSzJ2Ou,Maxim,Sarutari criminale,Sarutari criminale,['romanian pop'],2014-01-29,24,30,1668,222469,0.79,1,-6.702,0.0457,0.0152,0.000212,0.0967,0.604,160.032,222469,4
2213,1uiYuwj65rTnZIyGwpMNUO,Guess Who,Locul Potrivit,Locul Potivit,['romanian rap'],2009-07-28,43,0,93094,173987,0.688,4,-6.075,0.0754,0.537,0.0,0.355,0.488,133.94,173987,4
2214,1dqSI7vEgJLLLU58cBGd9o,Connect-R,Daca Dragostea Dispare,Daca Dragostea Dispare,['romanian pop'],2008-01-01,49,0,117720,294680,0.644,6,-6.448,0.235,0.537,0.0,0.0677,0.454,85.757,294680,4
2215,0K3Zhj6c2L3kmnF574BEFZ,Marius Moga,Pe Barba Mea,Pe Barba Mea,[],2014-09-18,33,0,4717,230137,0.74,0,-5.834,0.0777,0.255,0.0,0.385,0.739,146.037,230137,4
2216,6oEHuBcdVnFBFvpEdBaFuE,Alex,Dragoste La Prima Vedere,Yamasha,[],2006-01-01,18,0,367,259320,0.739,7,-6.663,0.0274,0.127,0.0,0.0602,0.966,93.003,259320,4
2217,3IaJtIoz4Ua1HaqIz1YOI3,Guess Who,Tot Mai Sus (feat. De Moga),Tot Mai Sus,['romanian rap'],2011-09-20,43,40,93094,176427,0.655,0,-6.786,0.0679,0.147,0.0,0.0927,0.723,100.006,176427,4
2218,77F2HOszJ8G7EBRXbDUZ0a,VUNK,Vreau o țară ca afară,Hituri si Mituri,"['romanian pop', 'romanian rock']",2015-10-07,35,14,14169,168280,0.759,7,-5.673,0.0367,0.00932,0.0,0.371,0.499,90.013,168280,4
2219,1XMh5y8DXbRI4PWhuo4X3x,Dan Bittman,Si ingerii au demonii lor,Si ingerii au demonii lor,['classic eurovision'],2015-01-28,24,29,1943,225455,0.79,0,-3.1,0.0528,0.101,0.0,0.0943,0.452,131.735,225455,4
2220,1eVQ8za2Vre62IRCXapKuE,Skizzo Skillz,Biniditat,Biniditat,"['romanian rap', 'romanian rock']",2012-09-17,30,24,31985,179373,0.662,1,-4.696,0.279,0.00839,0.0,0.0502,0.693,97.027,179373,4
2221,4gyoHcJU0TJMGNx1f79WoN,O-Zone,De Ce Plang Chitarele,DiscO-Zone,"['bubblegum dance', 'eurodance', 'europop', 'moldovan pop']",2004-06-06,58,0,95738,252944,0.917,9,-4.776,0.0309,0.0139,1.65e-05,0.116,0.966,130.005,252944,4
2222,0YvLLR1BaT52Nzu2cGORsF,O-Zone,Despre Tine,Number 1,"['bubblegum dance', 'eurodance', 'europop', 'moldovan pop']",2002-07-19,58,0,95738,229747,0.838,0,-5.023,0.0333,0.105,1.17e-06,0.467,0.948,130.045,229747,4
2223,0qUaPgJRZM4vVXlQioIFrW,Maxim,Vreau Sa Te...,Vreau Sa Te...,['romanian pop'],2014-08-20,24,21,1668,199107,0.783,5,-4.497,0.0434,0.0791,0.0,0.0992,0.535,168.085,199107,4
2224,5lMwh1XryzewQYJD2Bvq32,Stefan Banica,Veta,Zori De Zi,"['muzica usoara', 'romanian pop']",2003-07-18,37,0,12944,223627,0.859,0,-7.81,0.0489,0.57,3.38e-05,0.058,0.941,150.062,223627,4
2225,0koHHqhjMl08sHNHwlCUZn,Fara Zahar,Lav Stori,Neamul Lui Penes Curcanul,['romanian rock'],2008-01-01,29,0,14382,256373,0.581,7,-5.726,0.0482,0.0608,0.0,0.0698,0.716,94.005,256373,4
2226,0AV45kdzuiSbqal7i7Y8Uc,Carla's Dreams,P.O.H.U.I.,Ngoc,"['moldovan pop', 'romanian pop']",2016-05-07,53,43,429499,234661,0.539,0,-7.682,0.0383,0.765,0.0,0.198,0.278,117.979,234661,4
2227,3xNpZvAqFzkldUi7UMqkBj,Puya,Baga Bani,Best Of,"['romanian pop', 'romanian rap']",2018-06-08,45,0,97187,226650,0.624,11,-3.432,0.122,0.273,0.0,0.0702,0.861,99.991,226650,4
2228,4Obt0fYNLj5bPYSiDre7Ko,Puya,Maidanez,Best Of,"['romanian pop', 'romanian rap']",2018-06-08,45,0,97187,272161,0.84,10,-4.772,0.0713,0.207,1.53e-06,0.291,0.795,119.999,272161,4
2229,7roubeLVG6AdFxSbuQUAC0,Connect-R,Da-Te-N dragostea mea,Da-Te-N Dragostea Mea,['romanian pop'],2013-05-27,49,33,117720,206400,0.755,4,-4.233,0.16,0.255,0.0,0.25,0.857,200.061,206400,4
2230,3CrcHiylZjlNlizD9flhGI,Cabron,Dă-O Tare - Bonus Track,Lupu' DPM,['romanian rap'],2017-07-24,39,0,53646,213615,0.737,7,-4.274,0.102,0.14,1.61e-05,0.494,0.686,100.023,213615,4
2231,6P8psX3tmk4BAMCOw0JSJh,Smiley,Cai Verzi Pe Pereti,Cai Verzi Pe Pereti,['romanian pop'],2012-10-24,49,40,449950,194400,0.794,9,-4.233,0.113,0.158,0.0,0.2,0.892,99.988,194400,4
2232,1TaiuUguRgAS3HxcousQE8,Cabron,Iarna Pe Val,Iarna Pe Val,['romanian rap'],2012-06-21,39,0,53646,218465,0.672,9,-3.204,0.12,0.0455,6.28e-06,0.0472,0.572,110.016,218465,4
2233,4mDSSL0Z4TU30bJWeXEnES,DOC,Pierdut Buletin,HD,['romanian rap'],2015-12-03,39,0,44310,209053,0.943,4,-1.84,0.0543,0.0517,0.0,0.131,0.963,140.133,209053,4
2234,7Lw4yptMjGQmte4VJg5Ofh,CRBL,Romanu' N-Are Noroc,Ce-Avem Noi Aici?!,['romanian pop'],2013-06-19,29,27,18037,195100,0.956,6,-2.629,0.171,0.0607,0.0,0.105,0.874,101.976,195100,4
2235,4wyieMJ7tvRY0dZ2xO86cB,Holograf,Sa Nu-Mi Iei Niciodata Dragostea,Holografica,"['romanian pop', 'romanian rock']",2000-01-01,34,0,48008,304067,0.664,7,-8.472,0.0434,0.223,0.0,0.109,0.428,196.309,304067,3
2236,5jMJpHfqjgFIPl0EUHxKlR,Vama,Perfect Fără Tine,Perfect Fără Tine,['romanian rock'],2013-04-29,31,42,67413,225302,0.781,5,-4.287,0.0545,0.411,0.0,0.1,0.615,131.918,225302,4
2237,0KZWQJgPoyveumYuvC4fcl,Spitalul de urgență,Trăiască Berea,Trăiască Berea!,['classic romanian pop'],2000-07-25,24,0,2844,185187,0.836,9,-3.789,0.168,0.307,0.0,0.0276,0.927,96.936,185187,4
2238,7oqsMG0ZZSyINZ8f95fJCn,Grasu XXL,Turbofin,Drumul spre succes,['romanian rap'],2015-03-23,42,45,173349,224173,0.574,11,-5.663,0.0586,0.0381,0.0,0.073,0.257,130.092,224173,4
2239,0w95NegQ8vXaIBTgsY8MWH,RANDI,Prietena Ta,Prietena Ta,['romanian pop'],2014-10-02,46,41,99835,224549,0.833,4,-5.039,0.233,0.249,0.0,0.353,0.59,185.868,224549,4
2240,1Luf8cLTyBH7gHxzKtgWeu,VUNK,Artificii pe tavan,Hituri si Mituri,"['romanian pop', 'romanian rock']",2015-10-07,35,15,14169,225233,0.808,9,-5.763,0.0339,0.000701,0.0,0.332,0.565,130.063,225233,4
2241,6IWU0ivQSxF1C9WuLY1cuB,Connect-R,Noi ne potrivim - Radio Edit,Noi ne potrivim,['romanian pop'],2013-11-19,49,0,117720,188152,0.521,1,-6.836,0.101,0.455,2.37e-06,0.0853,0.895,91.992,188152,4
2242,24apkQgDVQqhEnHficBp6S,Taxi,Cele Doua Cuvinte,Cele 2 Cuvinte,['romanian rock'],2011-06-27,31,0,3892,158175,0.526,9,-5.793,0.213,0.519,0.0,0.672,0.832,113.949,158175,4
2243,11CRZbjPXDKUZxa98Nxcnm,Cargo,Dacă ploaia s-ar opri (ploaia),Spiritus Sanctus,['romanian rock'],2003-01-01,35,0,37820,303453,0.395,9,-9.998,0.029,0.47,0.0,0.072,0.211,107.965,303453,4
2244,3zGlNoNx8aEAURmiqu8IVB,VUNK,Numai la doi,Hituri si Mituri,"['romanian pop', 'romanian rock']",2015-10-07,35,13,14169,224282,0.844,1,-3.65,0.0349,0.00133,0.0,0.0565,0.392,118.084,224282,4
